Date,Open,High,Low,Close,
11/26/2019,"3,134.85","3,142.69","3,131.00","3,140.52",
11/27/2019,"3,145.49","3,154.26","3,143.41","3,153.63",
11/29/2019,"3,147.18","3,150.30","3,139.34","3,140.98",
12/02/19,"3,143.85","3,144.31","3,110.78","3,113.87",
12/03/19,"3,087.41","3,094.97","3,070.33","3,093.20",
12/04/19,"3,103.50","3,119.38","3,102.53","3,112.76",
12/05/19,"3,119.21","3,119.45","3,103.76","3,117.43",
12/06/19,"3,134.62","3,150.60","3,134.62","3,145.91",
12/09/19,"3,141.86","3,148.87","3,135.46","3,135.96",
12/10/19,"3,135.36","3,142.12","3,126.09","3,132.52",
12/11/19,"3,135.75","3,143.98","3,133.21","3,141.63",
12/12/19,"3,141.23","3,176.28","3,138.47","3,168.57",
12/13/2019,"3,166.65","3,182.68","3,156.51","3,168.80",
12/16/2019,"3,183.63","3,197.71","3,183.63","3,191.45",
12/17/2019,"3,195.40","3,198.22","3,191.03","3,192.52",
12/18/2019,"3,195.21","3,198.48","3,191.14","3,191.14",
12/19/2019,"3,192.32","3,205.48","3,192.32","3,205.37",
12/20/2019,"3,223.33","3,225.65","3,216.03","3,221.22",
12/23/2019,"3,226.05","3,227.78","3,222.30","3,224.01",
12/24/2019,"3,225.45","3,226.43","3,220.51","3,223.38",
12/26/2019,"3,227.20","3,240.08","3,227.20","3,239.91",
12/27/2019,"3,247.23","3,247.93","3,234.37","3,240.02",
12/30/2019,"3,240.09","3,240.92","3,216.57","3,221.29",
12/31/2019,"3,215.18","3,231.72","3,212.03","3,230.78",
01/02/20,"3,244.67","3,258.14","3,235.53","3,257.85",
01/03/20,"3,226.36","3,246.15","3,222.34","3,234.85",
01/06/20,"3,217.55","3,246.84","3,214.64","3,246.28",
01/07/20,"3,241.86","3,244.91","3,232.43","3,237.18",
01/08/20,"3,238.59","3,267.07","3,236.67","3,253.05",
01/09/20,"3,266.03","3,275.58","3,263.67","3,274.70",
01/10/20,"3,281.81","3,282.99","3,260.86","3,265.35",
01/13/2020,"3,271.13","3,288.13","3,268.43","3,288.13",
01/14/2020,"3,285.35","3,294.25","3,277.19","3,283.15",
01/15/2020,"3,282.27","3,298.66","3,280.69","3,289.29",
01/16/2020,"3,302.97","3,317.11","3,302.82","3,316.81",
01/17/2020,"3,323.66","3,329.88","3,318.86","3,329.62",
01/21/2020,"3,321.03","3,329.79","3,316.61","3,320.79",
