Date,Open,High,Low,Close
08/02/85,191.48,192.11,191.36,191.48
08/05/85,190.62,191.37,190,190.62
08/06/85,187.93,190.68,187.93,187.93
08/07/85,187.68,187.93,187.43,187.68
08/08/85,188.95,188.95,187.7,188.95
08/09/85,188.32,188.95,188.2,188.32
08/12/85,187.63,188.26,187.51,187.63
08/13/1985,187.3,188.05,186.55,187.3
08/14/1985,187.41,187.79,187.41,187.41
08/15/1985,187.26,187.64,186.64,187.26
08/16/1985,186.1,186.1,186.1,186.1
08/19/1985,186.38,186.64,186.39,186.38
08/20/1985,188.08,188.21,186.46,188.08
08/21/1985,189.16,189.16,188.16,189.16
08/22/1985,187.36,189.11,187.24,187.36
08/23/1985,187.17,187.3,186.67,187.17
08/26/1985,187.31,187.44,186.56,187.31
08/27/1985,188.1,188.1,187.35,188.1
08/28/1985,188.83,188.83,187.96,188.83
08/29/1985,188.93,188.93,188.43,188.93
08/30/1985,188.63,189.13,188.01,188.63
09/03/85,187.91,188.54,187.41,187.91
09/04/85,187.37,187.87,187,187.37
09/05/85,187.27,187.52,186.9,187.27
09/06/85,188.24,188.37,187.37,188.24
09/09/85,188.25,188.75,188,188.25
09/10/85,186.9,188.15,186.53,186.9
09/11/85,185.03,186.78,184.91,185.03
09/12/85,183.69,185.19,183.57,183.69
09/13/1985,182.91,184.16,182.16,182.91
09/16/1985,182.88,182.88,182.51,182.88
09/17/1985,181.36,182.86,180.86,181.36
09/18/1985,181.71,181.71,180.84,181.71
09/19/1985,183.39,183.39,181.77,183.39
09/20/1985,182.05,183.93,182.05,182.05
09/23/1985,184.3,184.55,182.05,184.3
09/24/1985,182.62,184.25,182.5,182.62
09/25/1985,180.66,182.54,180.66,180.66
09/26/1985,181.29,181.29,179.54,181.29
09/30/1985,182.08,182.08,181.33,182.08
10/01/85,185.07,185.07,182.07,185.07
10/02/85,184.06,185.94,184.06,184.06
10/03/85,184.36,185.11,183.61,184.36
10/04/85,183.22,184.35,182.72,183.22
10/07/85,181.87,183.12,181.37,181.87
10/08/85,181.87,182.25,181.25,181.87
10/09/85,182.52,183.27,181.9,182.52
10/10/85,182.78,182.78,182.16,182.78
10/11/85,184.28,184.28,182.66,184.28
10/14/1985,186.37,186.37,184.37,186.37
10/15/1985,186.08,187.08,185.71,186.08
10/16/1985,187.98,187.98,186.11,187.98
10/17/1985,187.66,188.41,187.54,187.66
10/18/1985,187.04,188.04,186.92,187.04
10/21/1985,186.96,187.21,186.84,186.96
10/22/1985,188.04,188.54,187.04,188.04
10/23/1985,189.09,189.09,188.09,189.09
10/24/1985,188.5,189.38,188.5,188.5
10/25/1985,187.52,188.4,187.4,187.52
10/28/1985,187.76,187.76,187.01,187.76
10/29/1985,189.23,189.73,187.86,189.23
10/30/1985,190.07,190.07,189.2,190.07
10/31/1985,189.82,190.95,189.45,189.82
11/01/85,191.53,191.53,189.41,191.53
11/04/85,191.25,191.88,190.75,191.25
11/05/85,192.37,192.37,191,192.37
11/06/85,192.76,193.01,191.89,192.76
11/07/85,192.62,192.87,192.25,192.62
11/08/85,193.72,193.97,192.6,193.72
11/11/85,197.28,197.29,193.79,197.28
11/12/85,198.08,198.58,197.08,198.08
11/13/1985,197.1,198.1,196.98,197.1
11/14/1985,199.06,199.19,196.94,199.06
11/15/1985,198.11,199.49,197.99,198.11
11/18/1985,198.71,198.71,197.59,198.71
11/19/1985,198.67,199.42,198.05,198.67
11/20/1985,198.99,199.12,198.62,198.99
11/21/1985,201.41,201.41,199.04,201.41
11/22/1985,201.52,201.9,201.15,201.52
